No.,事業所名,主たる対象,所在地,生活介護,自立訓練,就労移行支援,就労継続Ａ型,就労継続Ｂ型,日中一時支援,地域活動支援センターⅢ型,ページ,事業所種別,法人名,所在地,電話,FAX,担当者名,URL,主たる対象,定員（生活介護）,定員（自立支援）,登録者数,平均年齢,男女比,送迎,平均工賃（生活介護）,平均工賃（自立訓練）,活動時間,スポーツ・文化施設,経度,緯度
45,ウェルビー藤沢第２センター,身体・知・精・難・発達,藤沢,,,○,,,,,31,就労移行支援,藤沢市藤沢1015-14 　リブレ藤沢3階,,0466-52-4611,0466-52-4612,森　由紀子,http://www.welbe.co.jp,身体障がい者・知的障がい者・精神障がい者・難病患者・発達障がい者など,20,,20,34,男性10名　女性10名,なし,0,,月、火、水、金、土曜日　午前10時～午後4時　　木曜日　午前10時～午後2時,"・定期的な面談に基づく個別支援計画に沿った支援
・パソコンプログラム、軽作業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　・コミュニケーションプログラム　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　・ビジネスマナー、就職活動講座など　　　　　　　　　　　　　　　　　　　　　　　　　　　・面接練習、履歴書添削、企業見学など",35.342068,139.483444
46,プレミア藤沢,身体・知・精,鵠沼石上,,,○,,○,,,31,就労移行支援・就労継続支援B型,藤沢市鵠沼石上２－５－１　カサハラビル４階,,0466-53-9292,0466-53-9291,飯盛　誠二,http://www.premier.co.jp/,身体障がい者・知的障がい者・精神障がい者,20,,20,39,男性14名　女性6名,なし,0,,月～金曜日　午前１０時～午後3時,"企業就労を目指している方への就労トレーニング
・ITトレーニング
（IT技術の習得、エクセル、ワード、パワーポイント等）
・グループワーク（連携して仕事ができるようトレーニング）
・C＆C（チャレンジ＆コミュニケーション）",35.334587,139.487595
47,チャレンジドジャパン藤沢センター,身体・知・精・難,南藤沢,,,○,,,,,32,就労移行支援,藤沢市南藤沢18-1 グレイシャスK南藤沢2階,,0466-47-6271,0466-47-6272,永嶋　浩二,https://ch-j.jp/fujisawa/,身体障がい者・知的障がい者・精神障がい者（発達含む）・難病の方,20,,18,33,男性11名　女性7名,なし,なし,,月～金曜日　午前10時～午後3時（月2日土曜日　開所）,"週1日からでも通所･在宅訓練ができます。
軽作業のトレーニング数も豊富で、強みや特性を活かした就職を目指すことができます。
＜PC＞Word、Excel、PowerPoint、タイピング、データ入力
＜事務＞OA機器使用、書類ファイリング、仕分け作業、郵便物の封入･発送、PDF電子化
＜講座＞就職準備セミナー、ビジネスマナー、コミュニケーションセミナー、プログラミング
＜就職＞企業見学・実習、履歴書・職務経歴書の作成、面接同席 、定着支援",35.337158,139.490356
48,Bizパートナー藤沢,身体・知・精,南藤沢,,,○,,○,,,32,就労移行支援・就労継続支援B型,藤沢市南藤沢９－２　山下ビル５０１,,0466-53-8476,0466-53-8477,和田　みどり,https://legendfarm.official.ec/,身体障がい者・知的障がい者・精神障がい者,就労移行　　１０,就労継続Ｂ　１０,就労移行　　4,就労移行　　48,就労移行 男性3名 女性1名　,なし,就労移行　         　０,"就労継続Ｂ　22,612",就労移行　月～土曜日　午前10時～午後４時　,"<就労移行>・個人相談、面談（生活面、経済面、就職活動、将来設計、他）
・ビジネススキルアップ（PC入力、ビジネスマナー、講義）
・就職活動のサポート（履歴書、職務経歴書の作成、推薦状の作成、面接のロープレ)
・企業での実習体験（提携先企業、関連企業）
・職場定着の支援（定期的な連絡、サポート、相談）
<就労継続Ｂ>・農産物販売・農作業・チラシセット・ポスティング・PC入力・事務作業",35.33765,139.492386
49,ワークセンター藤沢,知・精・発達,亀井野,,,○,○,,,,33,就労移行支援 ・ 就労継続支援Ａ型,藤沢市亀井野2丁目2-5,,0466-54-9521,0466-54-9529,山口　豊彦,https://wcfujisawa.com/,精神障がい者・発達障がい者・知的障がい者,就労移行支援 １０,就労継続支援A型 １０,就労移行支援 8,34,－,なし,"就労継続支援Ａ型 時給1,040",就労移行支援　0円,就労継続支援Ａ型　午前10時～午後3時10分,"【少人数制】　駅から徒歩3分！　定員10名のアットホームな環境
■ライフスキル…　生活リズムを整える。体調管理。自分の得手不得手を知る。
■PC学習…パソコンインストラクター在中・資格取得サポートあり
■ビジネスプログラム…　その人にあった内容にカスタマイズ。定期面談あり。
■定着率　90％　(定着支援あり)
※就労継続支援A型のお仕事は、PC作業・軽作業となります。",35.383057,139.472214
50,LITALICOワークス藤沢,身体・知・精・難,南藤沢,,,○,,,,,33,就労移行支援,藤沢市南藤沢５－９　朝日生命藤沢ビル４F,,0466-54-6720,0466-54-6721,森山　聡,https://works.litalico.jp/center/kanagawa/fujisawa/,身体障がい者・知的障がい者・精神障がい者・難病の方など,20,,35,31.8,男性22名　女性13名,なし,0,,月.火.木曜日 午前9時～午後３時　水.金.土.祝日 午前９時～正午,"作業訓練、パソコン訓練（word、Excelなど）、ビジネスマナー、コミュニケーション訓練、ストレスとの付き合い方、生活リズムを整える、体調の管理、自分の強み・弱みを知る、就職活動（応募書類の添削、面接練習）、企業実習などなど……
他にも一人ひとりに合わせて一緒に考えていきます。",35.338024,139.490021
51,ディーキャリア藤沢オフィス,精・発達,藤沢,,,○,,,,,34,就労移行支援,藤沢市藤沢1031　GRAFARE  FUJISAWA  102 号室,,0466-54-9190,0466-54-9198,梅本　浩司,https://dd-career.com/office/fujisawa/,発達障がい者・精神障がい者,20,,18,33,男性8名　女性10名,なし,0,,月～金10:00～16:00／土10:00～12:00,"認知行動療法に基づいた(障がい特性への工夫)×(適職の発見)を目指すプログラム！
①ライフスキルコース②ワークスキルコース③リクルートコースの３ステップで、生きづらさ・働きづらさとの付き合い方を習得します。
①セルフケア、自己理解、コミュニケーション、思考、キャリアプランニングなど
②模擬仕事、PCスキル、軽作業、ビジネスマナー、企業見学、職場実習など
③求人検索、応募書類作成、模擬面接、面接同行、定着支援など",35.339081,139.481735
52,就労移行ITスクール藤沢,身体・知・精・難,南藤沢,,,○,,,,,34,就労移行支援,藤沢市南藤沢20-10　サンシャインタヒチビル5Ｆ,,0466-21-8754,0466-21-8907,服部　卓也,https://snabi.jp/facility/22984,身体障がい者・知的障がい者・精神障がい者・難病患者,20,,11,33,男性7名　女性4名,なし,－,,月曜日～金曜日　10：00～15：00,"・プログラミング学習、動画編集、webデザイナー等に必要なスキルの訓練・事務作業に必要なスキル（Excel、Word、Powerpoint）の習得・生活リズムの改善、健康管理、体調管理、コミュニケーション、ビジネスマナー他、就労に必要なスキルの習得、サポート
・利用者さんひとりひとりに寄り添った支援を心掛けています。",35.337002,139.48938
53,オンステージ藤沢,身体・知・精・難,藤沢,,,○,,○,,,35,就労移行支援・就労継続支援B型,藤沢市藤沢971-1　リベール藤沢4Ｆ,,0466-90-4283,0466-90-4284,瀧本　圭吾,https://onstage-support.jp/office,身体障がい者・知的障がい者・精神障がい者・難病患者,就労移行支援6,就労継続支援B型14,8,40.7,男性5名　女性3名,なし,就労移行/0,"B型/19,281",月曜～土曜（祝日も含む）, B型・・・ペットフードメーカーと提携してワンちゃんネコちゃんのおやつの袋詰めやネット販売を行っております。利用者の皆さんにはラベル貼りや袋詰めなどをお願いしています。売れ行き好調のため、利用者さん募集中です。,35.339951,139.483551
54,移行支援党 白い翼/白い翼 Ｂ型秘書室,身体・知・精・難・発達,藤沢,,,○,,○,,,35,就労移行支援・就労継続支援Ｂ型,藤沢市藤沢1051-5（TAIKI 3 BLDG.）３階,,0466-90-5888,0466-90-5819,河村　琢磨,www.ballot.co.jp,身体・知的・精神・発達・難病・その他境界層等利用対象と判断された方,20,,17,40.7,男性11名　女性6名,あり,9372,,月～金曜日　午前10時～午後３時,"一般就労プラス「政治」の仕事も選べる全国唯一の就労支援事業所
・PC作業（Word/Excel/PowerPoint/illustrator/Photoshop）
・動画の撮影/編集　・動画配信　・画像加工/サムネイル制作　・チラシ折り
・封入封緘作業　・ポスティング　・健康づくり（ヨガ/メディテーション）
・身だしなみサポート（女性を対象としたメイク/ネイル/ヘアスタイル等）",35.339966,139.481689
55,るる湘南,身体・知・精,辻堂元町/鵠沼神明,,,,○,○,,,36,多機能型就労継続支援A型・B型,A型：藤沢市辻堂元町4－3－32/B型：藤沢市鵠沼神明１－５－１６－５F,,"A型：0466－90－3906
B型：0466－47－8522",,細川　毅,http://www.ruru.co.jp,身体障がい者・知的障がい者・精神障がい者,A型：20　B型：20,,A型：34　B型：14,A型：37.4　B型：34.6,"A型：男性　  26名　　女性　  8名
B型：男性　  10名　　女性　 4名",なし,A型：神奈川県最低賃金,B型：時給405,　月曜日　午前10時～午後３時　火～金曜日　午前9時～午後２時,"A型：就労（ペットフード計量・封入・シーラー作業、清掃・除草作業、メール便配達作業、防虫防除アシスタント作業）
B型：作業（アメニティグッズ軽作業、ノベルティグッズ検品・梱包作業、ネット転売商品のクリーニング・梱包作業）",36.413017,139.466156
56,ほまれの家長後店,身体・知・精・高・難・発達,下土棚,,,,○,,,,36,就労継続支援A型,藤沢市下土棚468-1　ベルーガ湘南210号室,,090-7769-9150,0466-32-9659,和田　順子,なし,身体・知的・精神・発達・高次脳機能障がい・難病患者の方,15,,14,35,男性9名　女性5名,なし,74000,,月～金曜日　午前10時～午後3時30分　（土・日・祝 休み） ,"　・ネットショップの受注管理作成
　・ネットショップの発送手配作業
　・ネットショップの商品リサーチ作業
　・施設外での清掃作業
　・その他PCを使った作業、軽作業",35.413017,139.466156
57,神奈川ワークショップ　ひかり治療院,身体（視覚）,辻堂神台,,,,,○,,,37,就労継続支援B型,藤沢市辻堂神台１－３－３９　タカギビル３階,,0466-54-8271,0466-54-8278,岩屋　仁,http://www.lfa.jp/,身体障がい者（視覚障がい者）,10,,5,40,男性3名　女性２名　,なし,50000,,月曜日から金曜日　※土曜日は事業所カレンダーにより営業 ,・国家資格を有する者が施術する鍼灸マッサージ。,35.338615,139.447388
58,神奈川ワークショップ　かわうそ工房,身体･知,獺郷,,,,,○,,,37,就労継続支援B型,藤沢市獺郷50－1,,0466-54-8671,0466-54-8672,高野　英夫,http://www.lfa.jp/,身体障がい者・知的障がい者,10,,10,35,男性４名　女性６名,なし,25000,,月～金曜日（月２日土曜日開所）　午前9時15分～午後3時15分,・焼き菓子製造（かわうそサブレ、クッキー、パウンドケーキ等）,35.399372,139.412003
59,エール湘南,知,遠藤,,,,,○,,,38,就労継続支援B型,藤沢市遠藤642-2,,0466-86-0625,0466-21-9978,菊池　美佳,http://www.yell-shonan.jp/,知的障がい者,20,,17,27,男性5名　女性12名　,なし,16000,,月～金曜日　　午前9時30分～午後4時,"【製菓業務】・焼き菓子製造（クッキー、シフォンケーキ等）・販売（店、スーパー等）　・企業からのクッキー等委託製造
【受注業務】・折込作業・封入作業・電機部品の組立作業・ラベル貼り
【行事】・一日外出・　収穫祭・家族懇談会・本人、家族に向けた勉強会の開催",35.368977,139.434296
60,コーヒーポット,知,善行団地,,,,,○,,,38,就労継続支援B型,藤沢市善行団地3-14-2,,0466-84-2101,0466-84-2101,森谷　浩二,http://www.s-hibari.or.jp/,知的障がい者,10,,12,28,男性5名　女性7名　,なし,23000,,月～金曜日　　午前9時～午後4時,"・喫茶業務（軽食調理、フロア注文、皿洗い等）
・メール便（仕分け・配達）
・受注作業",35.36869,139.464203
61,湘南みどりの風　FLOW,知,辻堂太平台,,,,,○,,,39,就労継続支援Ｂ型,藤沢市辻堂太平台1-3-9,,0466-53-7173,0466-53-7173,矢澤　洋,https://greenwind.p-kit.com/,知的障がい者,20,,8,28,男性7名　女性1名,応相談,15256,,月～金曜日　　午前9時～午後3時,"・企業からの受注作業
（チラシの折込、ボールペンの組立、通販キット、端末キャップのシーラー・リユースCDの検品加工・割箸の袋詰め）

",35.331028,139.459854
62,らいく・みーこむ,知,朝日町,,,,,○,,,39,就労継続支援B型,藤沢市朝日町1-1 藤沢市役所分庁舎1階,,0466-50-6080,0466-50-6080,津阪　静香,http://www.s-hibari.or.jp,知的障がい者,10,,13,38,男性4名　女性9名,なし,30000,,月～金曜日（週休２日）　土、日休み　午前9時～午後4時,"
・喫茶業務（調理補助、フロア、皿洗い等）
・施設外清掃（市民会館周辺の清掃、除草作業）
",35.339535,139.491074
63,Music of Mind,知,大庭,,,,,○,,,40,就労継続支援B型,藤沢市大庭５２５１－１,,0466－86－7857,0466－86－7857,錦谷　陽子,http://mofm.web.fc2.com,知的障がい者,20,,19,32.05,男性7名　女性12名,なし,10258,,月～金曜日　午前10時～午後３時４５分（イベントにより土日あり）," ・音楽（歌・楽器練習、ライブ・コンサート出演、レコーディング、PV撮影）
・カフェ（接客、配膳、準備片づけ、調理、仕込み、掃除、洗い物）
・手芸（アクリル毛糸編み物、パッチワーク・マスク等縫い物、衣装作り）
・その他（PC作業、園芸、掃除、機材運搬など）",35.360771,139.446182
64,かたくりの里,精,湘南台,○,,,,○,,,40,就労継続支援Ｂ型・生活介護,藤沢市湘南台5-1-2,,0466-45-8512,0466-45-8515,小澤　泰子,http://www.tomoni.or.jp/katakuri/,精神障がい者,就労Ｂ型４０名、生活介護20名,,130,46.2,男性65名　女性65名,あり（要相談）,"（B型）10,130",,月～金曜日　午前9時～午後4時,"・クッキーの製造
・企業からの受注作業
　（カレーの箱詰め、メール便封入封緘等）
・パソコン作業（ＨＰ更新、名刺点字印刷、データ入力等）
・農作業
・店舗販売",35.398586,139.466309
65,喫茶ポトピ,精,大鋸,,,,,○,,,41,就労継続支援B型,藤沢市大鋸2-2-22　青木ビル2･3Ｆ,,0466-28-5900,0466-28-5900,福西　有布子,http://potopi.life.coocan.jp,精神障がい者,20,,35,49,男性18名　女性17名,なし,12804,,午前９時１５分～午後２時, ・喫茶レストラン事業（コロナ禍によりテイクアウト販売のみ）　　　　　　　・お弁当事業　・パン工房事業　・就労支援等　　　　　　　　　　　　　　　　　・コロナが落ち着いたら季節の行事やバザー出店等,35.343586,139.489197
66,すばる工房,精,藤沢,,,,,○,,,41,就労継続支援B型,藤沢市藤沢545-51ライオンズマンション湘南藤沢１階,,0466-50-1875,0466-50-1875,明吉　祐代,http://subarukoubou.com,精神障がい者,20,,24,48,男性16名　女性8名,なし,10000,,月～金曜日　　午前9時３０分～午後4時,"・各種軽作業（折り込みなど）
・看板、カッティングシート制作
・藤沢広報誌・情報誌のポスティング
・その他、バザー出店やレクリエーション",35.342274,139.485458
67,第2藤沢ひまわり,精,藤沢,,,,,○,,,42,就労継続支援B型,藤沢市藤沢1－3－26,,0466-22-1177,0466-52-5808,竹川　由紀,なし,精神障がい者,20,,15,48.8,男性7名　女性9名,なし,6013,,月～金曜日　午前9時～午後4時,"・ペット用ジャーキーつくり（製造及び販売）・調理（土曜日開催）
・チラシ折込、新聞配達、ソーシャルスキルトレーニング、パソコン
・アロマクラフト教室　・卓球クラブ
・ビニールリサイクル作業
　日常相談や少人数制のグループワークを大切にしています",35.348137,139.482941
68,第3藤沢ひまわり,精,西富,,,,,○,,,42,就労継続支援B型,藤沢市西富　368－1,,0466－28－2072,0466－28－2072,出野　真里子,なし,精神障がい者,12,,13,49.4,男性13名　女性0名,最寄り駅に朝一回のみ迎えあり,8866,,,"・清掃作業(カトリック教会)
・ポスティング
・チラシ折込作業
・メール便配達
・サークル活動　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　",35.352825,139.487183
69,Caféすばる,精,南藤沢,,,,,○,,,43,就労継続支援B型,藤沢市南藤沢7－10～2F,,0466－23－6880,0466－23－6880,沖山　ゆうこ,なし,精神障がい者,20,,23,46,男性１3名　女性10名　,なし,11045,,月～金曜日　　午前９時３０分～午後4時30分,"・喫茶業務（ホール作業、厨房作業）
・弁当配達・地域交流・個別面談・軽作業・生活支援・就労支援・レクリエーション活動・防災訓練・計画的支援・実習生の受け入れ",35.337433,139.490372
70,パン遊房　亀吉,身体・知・精・高・難・その他,鵠沼海岸,,,,,○,,,43,就労継続支援B型,藤沢市鵠沼海岸７－２０－２１,,0466-34-8442,0466-34-8552,港,https://slt.tanemaki.fun/,身体障がい者・知的障がい者・精神障がい者・高次脳・難病患者・若年性認知症,20,,31,38,男性15名　女性16名,あり（要相談）,45140,,月～土曜日　午前７時～午後４時（好きな時間で）週4日以上,・天然酵母のパン製造、販売・ふるさと納税返礼品　パン部門全国№１のギフトセットづくり・働く人の能力に応じて仕事を組立てています・仕事で不安をかかえる方への生活相談・心理カウンセリングの実施・地域や法人内でのイベントへの出店・当事者会の開催（精神障がい、失語症、認知症等）・就労に向けた各種プログラム・福利厚生でおいしいまかない10円、販売物は半額,35.322659,139.465439
71,えにしんぐ,知・精,下土棚,,,,,○,,,44,就労継続支援B型,藤沢市下土棚４７２－２　グッドビル長後駅前３階,,0466-41-9666,0466-41-9699,下間　有,https://npoenishi.wixsite.com/enishing,知的障がい者・精神障がい者,20,,20,37.25,男性13名　女性7名,なし,5000,,月～金曜日　午前9時～午後4時,"・手工芸品の制作、販売（アクセサリー、雑貨）
・ポスティング、定期刊行物の配達
・ビル清掃、庭清掃
・PCによるデータ入力
・地域のサポート業務（不用品の整理処分、昼食配達 など）",35.411007,139.465347
72,Nico's  Kitchen,応相談,大鋸,,,,,○,,,44,就労継続支援B型,藤沢市大鋸1-9-2  玉樹ビル1階,,0466-90-3494,0466-90-3496,小木曽　正子,https://nico-web2019.jimdofree.com/,応相談,20,,11,34,男性4名　女性7名,応相談,5500,,月～土曜日　午前9時～午後５時（個別で対応致します）,"●地域交流のお仕事　＊お弁当販売（藤沢市役所・市内店舗）＊お弁当配達　＊農家さんとの交流＊出張カフェ＊マルシェ出店
●室内での仕事　＊創作活動　（羊毛フェルト・パラコード製品・その他 ）
●祝日などには遠足やそば打ち体験などの課外活動も盛んです。江ノ島シーキャンドル点灯式やバリアフリーキャンプなど楽しい活動にも参加しました。",35.339424,139.495422
73,フライト,身体・知・精・難,鵠沼橘,,,,,○,,,45,就労継続支援B型,藤沢市鵠沼橘1-178-13　ザ・フジサワツインビル4A,,0466-96-0255,なし,山口　聡,https://senku.ltd/,身体障がい者・知的障がい者・精神障がい者・難病患者,20,,37,40,男性22名　女性15名,なし,"日給500円＋時給
平均工賃 10,517円",,月〜金：10:00〜15:45　土・祝日：10:00〜12:00," ・動画編集、画像加工などのPC業務
 ・商品管理や請求書発行関連業務などの事務業務、商品リサーチや商品出品などの物販業務
・ラベル貼りや写真撮影などの軽作業業務",35.334824,139.485001
74,すいかのたね,身体・知・精・難・発達,高倉,,,,,○,,,45,就労継続支援B型,藤沢市高倉650-38　レナジア藤沢102,,0466-21-9321,0466-21-9322,高見　広海,なし,知的・身体・精神・発達障がいの方・難病の方,20,,1,－,男性0名　女性1名,なし, －,,月曜～土曜日（隔週）10時～16時（会社カレンダーによる）,"金魚屋・駄菓子屋の運営を中心としたB型事業所です。
水槽の掃除やエサやり、接客、品出しなどが主な作業内容です。
その他には保護動物のお世話、造園作業の補助、駄菓子屋で販売するミニノート等の小物作りなどの内職もあります。また、地域イベントへの参加も検討しています。",35.414036,139.466827
75,ビーバー/ビーバーファクトリー,知・精,善行,,,,,○,,,46,就労継続支援B型,藤沢市善行7-5-2東大門ビル101,,0466-82-1010,0466-82-1010,山内　大輔,https://kijyu.or.jp/,知的障がい者・精神障がい者,20,,3,38.3,男性1名　女性2名,あり（要相談）,7800,,"ビーバー：月・火曜定休/ビーバーファクトリー：土日祝休
午前10時～午後4時30分（時間内でご希望に応じ調整いたします）","＜ビーバー＞接客、接客補助、衛生保全、清掃、仕入れ、軽作業など
＜ビーバーファクトリー＞弁当製造（補助）、販売、仕入れ、仕込み、清掃など

・高齢、保育、障がい領域を複合的に運営する社会福祉法人です。
・その社会福祉法人が、同じ地域で40年以上愛されてきた名物店「ビーバー」とコラボレーションして生まれた、就労継続支援B型事業所です。",35.363281,139.473602
76,K's Ｒoot,身体・知・精,長後,,,,,○,,,46,就労継続支援B型,藤沢市長後６６８－１サザン長後ビル１０１,,0466-54-8768,0466-54-8768,塚原　健太,https://www.ksroot.net,知的障がい者（発達含む）　精神障がい者　身体障がい（視覚・聴覚のみ）,20,,21,40.5,男性7名　女性14名,応相談,10800,,火～土１１：００～１６：００　日・月　年末年始休み,"・カフェでの接客、簡単な調理、皿洗い、ピザ生地、パスタ麺製造など 
・創作活動（紙ひも細工・レジン細工、ハーバリウム・ミサンガなど）
 ・農作業(簡単なもの) ・給食あり(実費200円程度かかります)
・カフェでの接客、簡単な調理、皿洗い、ピザ生地、パスタ麺の製造など",35.413326,139.465302
77,ラパンキッチン,身体・知・精,藤沢,,,,,○,,,47,就労継続支援B型,藤沢市藤沢576　林ビル１階,,0466-52-4083,0466-21-8612,濵室　果耶,https://www.lapin-inc.co.jp/,身体障がい者・知的障がい者・精神障がい者,20,,27,41.1,男性17名　女性10名,なし,30988,,月曜日～土曜日　午前８時～午後５時,"・弁当製造/惣菜製造（仕込み/調理補助、盛付、カップ詰め等）
・燻製商品製造（仕込み/調理補助、ラベル貼り、梱包、発送作業等）
・配送業務補助（積込み、店舗/お客様への納品）
・店頭販売（接客/販売補助、商品管理（陳列、期限管理）等）
・パソコン作業（データ入力、レシピ作成等）",35.341129,139.488327
78,湘南塩梅,精,本町,,,,,○,,,47,就労継続支援B型,藤沢市本町3－8－16 1階,,0466-66-6424,050-3737-9779,若林　昌子,https://e-ambai.com,精神障がい者,20,,19,41,男性5名　女性14名,なし,7085,,月～金曜日　午前9：00～午後4：00（月に１度、土または祝日に開所あり）,"◆2022年8月1日オープン
・パソコン作業（HP制作、動画撮影・編集、イラストデザイン、データ入力、PC組立・修理等）
・企業からの受注作業（食品箱詰めやDM等の軽作業）
・手芸、小物や家具製作等のモノづくり",35.345432,139.476456
79,朝日ねんどの会,知,辻堂神台,,,,,,,○,48,地域活動支援センターⅢ型,藤沢市辻堂神台2-2-51,,0466－33－4310,0466－33－4310,久喜　緑,なし,知的障がい者,15,,11,49,男性5名　女性6名,個々相談可 ,月額2000円　　　　　　　　　ボーナス4000円年3回,,月～金曜日　午前9時00分～午後3時30分,"・自主作品制作（陶芸品の制作、販売）
・文化活動（茶道教室、花の会）
・生活訓練（調理実習、清掃） 
・行事活動（遠足、日帰りバス旅行、じゃがいもほり、七夕会、外食会、クリスマス会、新年会等）",35.340828,139.448257
80,善行ひばりの家,知,善行坂,,,,,,,○,48,地域活動支援センターⅢ型,藤沢市善行坂1－13－26,,0466－82－7233,0466－82－7233,坂本　郷司,なし,知的障がい者,15,,11,40,男性2名　女性9名　,なし,4000,,月～金曜日　午前9時～午後4時、バザーなどイベント時は土日も有り,"・企業からの受注作業
（封入作業、箱折り作業、チラシの折込、ポスティング等）
・自主製品製作及び販売（ビーズアクセサリー製作、地域イベントでの販売）",35.364529,139.466721
81,フリークラブ湘南,知,宮原,,,,,,,○,49,地域活動支援センターⅢ型,藤沢市宮原1442,,0466－48－6600,0466－48－6600,下川原　悠太/西岡　彩,https://freeclubsyonan.blog.fc2.com/,知的障がい者,22,,17,34.8,男性11名　女性6名,あり（慶応大学バスターミナル付近・御所見市民センターの拠点送迎）,2000,,月～金曜日　　午前9時30分～午後3時30分,"・受注作業（エコキャップ選別、リユースハンガー洗浄等）
・ラジオ体操、散歩
・文化活動（月1回　外出企画・創作活動等）",35.39513,139.405426
82,ジョブサポートひまわり,精,西俣野,,,,,,,○,49,地域活動支援センターⅢ型,藤沢市西俣野1925-3,,0466-82-4384,0466-54-8879,船山　敏一,https://www.fujisawa-himawari.com/,精神障がい者,45,,30,46.14,男性20名　女性10名,なし,3000,,"月～金曜日　午前9時～午後4時
第1土曜日　　午前9時～正午　","・職場定着支援
・就労プログラム
・就労準備性向上プログラム
（履歴書の記入、面接のロールプレイ、就労準備性の自己確認）
・企業からの受注作業
（紙製品加工、病院機関紙発送、軽作業等）",35.375092,139.48526
83,フリースペース　ステラ・ポラーレ,精,大鋸,,,,,,,○,50,地域活動支援センターⅢ型,藤沢市大鋸 　1－7－14,,0466－23－5780,0466－23－5780,濱坂　英則,http://potopi.life.coocan.jp/,精神障がい者,50,,19,45,男性13名　女性6名　,なし,3000,,月～金曜日　午前9時30分～午後5時30分,"・就労訓練（「広報ふじさわ」などのポスティング）
・休息の場所・居場所としての空間の提供
・余暇活動（心理学講座・外出レクなど）
・日常の困りごと・悩みに対する相談・支援・訪問　
・就労支援（サポーターによる相談・ハローワークへの同行など）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　",35.340874,139.494766
84,さんわーくかぐや,身体・知・精,本藤沢,,,,,,○,,50,日中一時支援,藤沢市本藤沢6-12-1,,0466-77-8610,0466-77-8610,藤田　靖正,http://www.sunwork-kaguya.com/,身体障がい者・知的障がい者・精神障がい者,20,,22,38,男性11名　女性11名,なし,0,,月～金曜日　午前9時～午後3時," 太陽の下で身体を動かしホルモン分泌を促し、畑で協力して活動する喜びを体感する。ART活動を通じて感性を育み、相互承認の心を醸成する。
・創作活動（陶芸、木工、紙漉き、染色）
・農作業（田んぼ、畑、果樹、農家さん支援）
・様々 な地域参加 （道路清掃 、地域商店 での職業体験、イベント出店）",35.360943,139.471527
85,駅前かぐや,身体・知・精,善行,,,,,,○,,51,日中一時支援,藤沢市善行１－５－２　2階２０１,,０４６６－６２－８８２２,同左,澤野　亮介,なし,身体障がい者・知的障がい者・精神障がい者,7,,17,43,男性8名　女性9名,なし,0,,火～土…10：00～15：30　　火～金…15：45～18：00,"地域の中の身近な存在として活動することに軸足を置いています。

 地域のお店の手伝い、有機農家さんの野菜販売、農作業、焼き芋のリヤカー販売（秋冬のみ）、自主整品の販売、イベント出店",35.362576,139.471634
86,けいずらいふ24,知・精,遠藤,,,,,,○,,51,日中一時支援,藤沢市遠藤856-15,,0466-60-1306,0466-60-1307,室井　きぬ子,https://www.navida.ne.jp/snavi/101178_1.html,知的障がい者・精神障がい者,3,,20,28,男性13名　女性7名,あり, －,,9：00～18：00　の間,様々な理由により学校・作業所に行けていない方を遊びやイベントを通し、　　楽しく日々を送る事で、徐々に通所・通学に繋がるような支援を行っています。,35.37458,139.436081
87,ぱぴる,身体・知・精,長後,,,,,〇,,,52,就労継続支援B型,藤沢市長後950-2,,0466-90-5996,0466-90-5996,中嶋　京子,kukuru.papilu@gmail.com,身体障がい者・知的障がい者・精神障がい者（発達含む）,20,,9,38,男性4名　女性5名,なし,約5000,,月～金曜日　午前９時～午後４時,週1日だけや午前のみ(午後のみ)参加など、ご都合に応じてのご利用ができます。交通機関が不安な方でも通いやすいように送迎対応しています。 ＜外作業＞ポスティング、花壇清掃、庭掃除、空き家管理・清掃など ＜内職＞ポスティング折り込み、ウェブ制作、データ打ち込み、オリジナル雑貨や衣類の作製・販売など),35.419315,139.469025
－,生きがい就労センター,その他,鵠沼神明,,,,,,,,52,その他,藤沢市鵠沼神明1-3-18,,0466-27-1100,0466-27-1102,栗城・髙木,http://www.f-ikigai.jp,知的障がい者・身体障がい者,20,,16,49,男性12名　女性4名,なし,10000,,月～金曜日　　午前9時～午後4時,"・企業等からの受託作業（ベアリング揃え、DM貼り、部品の計量、袋詰め、広報封入等）
・自主製品作製（芳香剤づくり、デコパージュ石鹸等）
・施設内行事（技能講習）
・施設外行事（企業見学、社会見学等）",35.339226,139.477936
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
